Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 OCT,8.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 NOV,8.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2011 DEC,8.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 JAN,8.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 FEB,8.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 MAR,8.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 APR,8.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 MAY,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 JUN,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 JUL,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 AUG,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 SEP,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 OCT,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 NOV,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2012 DEC,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 JAN,8.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 FEB,7.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 MAR,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 APR,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 MAY,7.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 JUN,7.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 JUL,7.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 AUG,7.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 SEP,7.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 OCT,7.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 NOV,7.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2013 DEC,7.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 JAN,6.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 FEB,6.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 MAR,6.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 APR,6.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 MAY,6.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 JUN,6.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 JUL,6.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 AUG,6.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 SEP,6.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 OCT,5.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 NOV,5.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2014 DEC,5.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 JAN,5.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 FEB,5.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 MAR,5.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 APR,5.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 MAY,5.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 JUN,5.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 JUL,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 AUG,5.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 SEP,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 OCT,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 NOV,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2015 DEC,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 JAN,5.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 FEB,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 MAR,5.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 APR,5.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 MAY,5.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 JUN,4.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 JUL,5.0
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 AUG,4.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 SEP,4.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 OCT,4.9
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 NOV,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2016 DEC,4.8
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 JAN,4.7
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 FEB,4.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 MAR,4.6
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 APR,4.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 MAY,4.5
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 JUN,4.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 JUL,4.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 AUG,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 SEP,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 OCT,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 NOV,4.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2017 DEC,4.4
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 JAN,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 FEB,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 MAR,4.3
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 APR,4.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 MAY,4.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 JUN,4.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 JUL,4.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 AUG,4.2
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 SEP,4.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 OCT,4.1
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2729755.0,8.2,8.7,53.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Not stated,19.0,33.1,Male,22.6,36.7,0.9,48.0,36.2,14.9,14.4,13.1,2018 NOV,4.1
